date,topic,slides,required_reading,optional_reading,disc_leaders,row_class
1/6,Intro,"[<a href=""https://docs.google.com/presentation/d/1H3uTuBMDpcQixlDxz0ifJEVqSvtNS_mQYksHEa5aUcw/edit?usp=sharing"">gdoc</a>]",None,,Sam,
1/8,Core OS,"[<a href=""https://docs.google.com/presentation/d/1y4IaghREmPtqKFcas2T-cEcKXW5fzqAHW-pxdioI7tc/edit?usp=sharing"">gdoc</a>]","<a href=""/assets/ecs251/kaashoek97.pdf"">Application performance and flexibility on exokernel systems</a>. M. Frans Kaashoek, Dawson R. Engler, Gregory R. Ganger, Héctor M. Briceño, Russell Hunt, David Mazières, Thomas Pinckney, Robert Grimm, John Jannotti, and Kenneth Mackenzie. In the Proceedings of the 16th ACM Symposium on Operating Systems Principles (SOSP '97), Saint-Malô, France, October 1997. <br> <b>Research topic: how to read a paper</b>",,Sam,
1/10,Core OS,"[<a href=""https://drive.google.com/file/d/1EWQ-DsrRfOnuJ9f_u3kJBkblQX5fiAzB/view?usp=sharing"">Slides</a>]",OS Fundamentals: VMMs. Optional readig: OSTEP Appendix B,,Sam,
1/13,Core OS,"[<a href=""https://docs.google.com/presentation/d/1BtvjSWGMWFVYkWHzL8I9qdzADV2SOq7S6yJ9ITLYMFY/edit#slide=id.p"">Slides</a>]","<a href=""/assets/ecs251/whitaker02.pdf"">Scale and performance in the Denali isolation kernel</a>. Whitaker, A., Shaw, M., and Gribble, S. D. 2002. In Proceedings of the 5th Symposium on Operating Systems Design and Implementation",,Sam,
1/15,Quiz 1,,"Shuo Tang, Haohui Mai, and Samuel T. King, <a href=""/assets/ecs251/tang10.pdf"">Trust and Protection in the Illinois Browser Operating System</a>. Proceedings of the 2010 Symposium on Operating Systems Design and Implementation (OSDI), October 2010.
<br><br>
<b>Research topic: How to present</b>",,Sam,
1/17,Core OS,,"<a href=""https://dl.acm.org/doi/pdf/10.1145/3341301.3359659"">ShortCut: accelerating mostly-deterministic code regions</a>, X Dou, PM Chen, J Flinn
Proceedings of the 27th ACM Symposium on Operating Systems Principles, 2019",,"Shiven Mian, Sandra Bae, Zee, Nan, Haixin, Kathleen Blanck, Shawn Qiu",
1/20,NO CLASS,,,,N/A,table-danger
1/22,Quiz 2,,<b>Research topic: How to think of new ideas</b>,,Sam,
1/24,Modern OS,,"Saba Eskandarian, Jonathan Cogan, Sawyer Birnbaum, Peh Chang Wei Brandon, Dillon Franke, Forest Fraser, Gaspar Garcia Jr., Eric Gong, Hung T. Nguyen, Taresh K. Sethi, Vishal Subbiah, Michael Backes, Giancarlo Pellegrino, Dan Boneh, <a href=""https://ieeexplore.ieee.org/abstract/document/8835331"">Fidelius: Protecting User Secrets from Compromised Browsers</a>. IEEE Symposium on Security and Privacy 2019: 264-280",,"Yunqiu, Tony, Jingchao Fang, keyi wu, Binshuai Wang, Aron Sarmasi",
1/27,Modern OS,,"<a href=""https://www.usenix.org/system/files/sec19-reardon.pdf"">50 Ways to Leak Your Data: An Exploration of Apps' Circumvention of the Android Permissions System</a>
Joel Reardon, University of Calgary / AppCensus Inc.; Álvaro Feal, IMDEA Networks Institute / Universidad Carlos III Madrid; Primal Wijesekera, U.C. Berkeley / ICSI; Amit Elazari Bar On, U.C. Berkeley; Narseo Vallina-Rodriguez, IMDEA Networks Institute / ICSI / AppCensus Inc.; Serge Egelman, U.C. Berkeley / ICSI / AppCensus Inc. Usenix Security 2019",,"Dhruvtara Bhogishetty, Jayneel Vora, Shubham Pandey, Anusha Bangi, Jailan Sabet",
1/29,Quiz 3,,Research topic TBD,,Sam,
1/31,Cryptocurrencies,,"<a href=""https://bitcoin.org/bitcoin.pdf"">Bitcoin: A Peer-to-Peer Electronic Cash System</a>",,"Nikhil Wadhwa, Prashanth Duggirala, Dhruv Krishnan, Priya Holani, Sajjad Rahnama",
2/3,Cryptocurrencies,,"<a href=""https://pdos.csail.mit.edu/papers/notary:sosp19.pdf"">Notary: a device for secure transaction approval</a> Anish Athalye,
Adam  Belay, M. Frans Kaashoek, Robert T Morris, Nickolai  Zeldovich, SOSP 2019",,"Jia-Wei Liang, Yi-Chen Liu, Yue Wu, Bokun Wang, Che-Yu Liu, Juanyi Xu, Muting Wu",
2/5,Quiz 4,,What to expect when you get a job + how to get a job,,Sam,
2/7,Distributed Storage,,"""<a href=""""https://research.google.com/archive/bigtable-osdi06.pdf"""">Bigtable: A Distributed Storage System for Structured Data.</a>  Fay Chang , Jeffrey Dean , Sanjay Ghemawat , Wilson C. Hsieh , Deborah A. Wallach , Mike Burrows , Tushar Chandra , Andrew Fikes , Robert E. Gruber, OSDI'06: Seventh Symposium on Operating System Design and Implementation,
Seattle, WA, November, 2006.""",,"Pengcheng Ding, Sicheng Mu, Yalin Zhang, Neil Arakkal, Aakaash Kapoor",
2/10,Distributed Storage,,"<a href=""https://www.usenix.org/system/files/conference/atc14/atc14-paper-ongaro.pdf"">In Search of an Understandable Consensus Algorithm</a> by Diego Ongaro and John Ousterhout. 2014 USENIX Annual Technical Conference. [<a href=""https://www.usenix.org/node/184041"">Conference video</a>]",,"lihang pan， Tao Wang, Sajjad Rahnama, Rohan Sogani",
2/12,Quiz 5,,Meetings,,Sam,
2/14,SPAM,,"<a href=""https://www.icsi.berkeley.edu/pubs/networking/traffickingfraudulent13.pdf"">Trafficking Fraudulent Accounts: The Role of the Underground Market in Twitter Spam and Abuse</a> Kurt Thomas,Damon McCoy, Chris Grier, Alek Kolcz,
Vern Paxson, In 22th USENIX Security Symposium (USENIX Security 13), 2013",,"Julian Angeles, Matthew Farrer, Wenjing Fan, Zhuoer Tong, Alfred Liu",
2/17,NO CLASS,,,,N/A,table-danger
2/19,Quiz 6,,Meetings,,Sam,
2/21,Authentication,,"N. Karapanos, C. Marforio, C. Soriente, and S. Capkun. <a href=""https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-karapanos.pdf"">Sound-proof: Usable two-factor authentication based on ambient sound</a>. In 24th USENIX Security Symposium (USENIX Security 15), pages 483–498, Washington, D.C., 2015. USENIX Association.",,"Kun Qian, Yu Li, Qiangyang Wu, Mingyang Zhou, Yuheng Li",
2/24,Authentication,,"<a href=""https://www.usenix.org/system/files/conference/usenixsecurity12/sec12-final154.pdf"">Progressive authentication: deciding when to authenticate on mobile phones</a>
Oriana Riva, Chuan Qin, Karin Strauss, Dimitrios Lymberopoulos
21st USENIX Security Symposium | August 2012",,"Xiaorui Wang, Mengxiao Lin, Chuyuan Qu,Jiemin Wu, Yubo Wang, Haitian Chen",
2/26,Quiz 7,,Meetings,,Sam,
2/28,Authentication,,"B. Reaves, L. Blue, H. Abdullah, L. Vargas, P. Traynor and T. Shrimpton. <a href=""https://www.usenix.org/system/files/conference/usenixsecurity17/sec17-reaves_paper.pdf"">AuthentiCall: Efficient Identity and Content Authentication for Phone Calls</a>, In Proceedings of the USENIX Security Symposium (SECURITY), 2017.",,"Shreyas Hosamane, Peter Rong, Jingyuan Li,Zixin Chi,Sutej Kulkarni",
3/2,Authentication,,TBD (will announce the paper by Feb 1st),,,
3/4,Quiz 8,,Meetings,,Sam,
3/6,NO CLASS,,,,,table-danger
3/9,Presentations,,,,,table-warning
3/11,Presentations,,,,,table-warning
3/13,Presentations,,,,,table-warning
3/19,Final project due,,<b>Final project due @1pm</b>,,,
