date,topic,slides,required_reading,optional_reading,disc_leaders,row_class
4/1,Intro,"<a href=""https://canvas.ucdavis.edu/files/5649416/download?download_frd=1"">pdf</a>",,,,
4/3,Movie: We are Legion,,,,,
4/5,Ethics,"<a href=""https://canvas.ucdavis.edu/files/5678197/download?download_frd=1"">pdf</a>",,,,
4/8,Control flow attacks,"<a href=""https://canvas.ucdavis.edu/files/5699332/download?download_frd=1"">pdf</a>",,,,
4/10,Control flow attacks,,,,,
4/12,Guest lecture: Hardware side channels,,<b>Quiz 1</b>,,,
4/15,Control flow attacks,,,,,
4/17,Control flow attacks,,,,,
4/19,Control flow attacks,"<a href=""https://canvas.ucdavis.edu/files/5788928/download?download_frd=1"">pdf</a>",<b>Quiz 2</b>,,,
4/22,Control flow attacks / Web security,,,,,
4/24,Web security,"<a href=""https://canvas.ucdavis.edu/files/5846995/download?download_frd=1"">pdf</a>",,,,
4/26,Web security,"<a href=""https://canvas.ucdavis.edu/files/5872996/download?download_frd=1"">pdf</a>",<b>Quiz 3</b>,,,
4/29,Web security,,,,,
5/1,Web security,,,,,
5/3,Applied crypto: Authentication,"<a href=""https://canvas.ucdavis.edu/files/5925711/download?download_frd=1"">pdf</a>",<b>Quiz 4</b>,,,
5/6,Applied crypto: Authentication,,<b>Project proposal (pick group and topic)</b>,,,
5/8,Applied crypto: Hash functions and HMAC,"<a href=""https://canvas.ucdavis.edu/files/5961248/download?download_frd=1"">pdf</a>",,,,
5/10,Applied crypto: Symmetric key,"<a href=""https://canvas.ucdavis.edu/files/5989285/download?download_frd=1"">pdf</a>",,,,
5/13,Applied crypto: Public/private key,"<a href=""https://canvas.ucdavis.edu/files/6051207/download?download_frd=1"">pdf</a>",,,,
5/15,Group meetings,,,,,
5/17,Group meetings,,,,,
5/20,Giving presentations / writing final report,"<a href=""https://docs.google.com/presentation/d/1FfmSkxnQg9KpZ4oG0sU8L8EgadBZ8MKvy6XLsI93sQk/edit?usp=sharing"">gdoc</a>",<b>Quiz 5</b>,,,
5/22,Group meetings,,,,,
5/24,Group meetings,,,,,
5/27,No class,,,,,table-danger
5/29,Special topics lecture,"<a href=""https://docs.google.com/presentation/d/1MbQDQBoM52aTCcDX4A64OcKypRunwD3k-wevTLkWEVk/edit"">gdoc</a>",,,,
5/31,Final presentations,,,,,
6/3,Final presentations,,,,,
6/5,Final presentations,,,,,
