date,topic,slides,required_reading,optional_reading,disc_leaders,row_class
4/1,Intro,"<a href=""https://canvas.ucdavis.edu/files/5649416/download?download_frd=1"">pdf</a>",,,,
4/3,Movie: We are Legion,,,,,
4/5,Ethics,"<a href=""https://canvas.ucdavis.edu/files/5678197/download?download_frd=1"">pdf</a>",,,,
4/8,Control flow attacks,"<a href=""https://canvas.ucdavis.edu/files/5699332/download?download_frd=1"">pdf</a>",,,,
4/10,Control flow attacks,,,,,
4/12,Guest lecture: Hardware side channels,,<b>Quiz 1</b>,,,
4/15,Control flow attacks,,,,,
4/17,Control flow attacks,,,,,
4/19,Control flow attacks,"<a href=""https://canvas.ucdavis.edu/files/5788928/download?download_frd=1"">pdf</a>",<b>Quiz 2</b>,,,
4/22,Control flow attacks / Web security,,,,,
4/24,Web security,"<a href=""https://canvas.ucdavis.edu/files/5846995/download?download_frd=1"">pdf</a>",,,,
4/26,Web security,,<b>Quiz 3</b>,,,
4/29,Applied crypto,,,,,
5/1,Applied crypto,,,,,
5/3,Applied crypto,,<b>Quiz 4</b>,,,
5/6,Applied crypto,,,,,
5/8,Applied crypto,,,,,
5/10,Malware,,<b>Quiz 5</b> and <b>Project proposal (pick group and topic)</b>,,,
5/13,Isolation + access control,,,,,
5/15,Mobile security,,,,,
5/17,Cryptocurrencies,,<b>Quiz 6</b>,,,
5/20,No class,,,,,
5/22,Spam and abuse,,,,,
5/24,Product security,,,,,
5/27,No class,,,,,table-danger
5/29,TBD,,,,,
5/31,Final presentations,,,,,
6/3,Final presentations,,,,,
6/5,Final presentations,,,,,
